ID,name,category,description,prompt
,Addressing User's Account Concerns,Account Assistance,Generate responses to address user inquiries about account-related issues and concerns,"Develop AI-generated responses to help users with account-related questions, such as password reset, billing inquiries, or updating personal information."
,Assistance with Account Recovery Process,Account Assistance,Generate step-by-step instructions to guide users through the account recovery process,Design AI-generated instructions that help users recover their accounts in case of forgotten passwords or other account-related issues.
,Handling User Requests for Account Deletion,Account Assistance,Generate responses to assist users who wish to delete their accounts and associated data,Create AI-generated responses that guide users through the process of deleting their accounts and provide information on data retention policies.
,Responding to Account Access Denial,Account Assistance,Generate responses to explain the reasons for denying account access and suggest corrective actions,Develop AI-generated messages that inform users about access denial due to security concerns and provide guidance on resolving the issue.
,Creating Account Password Reset Instructions,Account Assistance,Generate step-by-step instructions for users to reset their account passwords,Design AI-generated instructions that guide users through the process of resetting their passwords to regain account access.
,Personalized Account Recommendations,Account Enhancement,Generate personalized recommendations for users to optimize their account settings or preferences,Create AI-generated suggestions that guide users to customize their account settings based on their usage patterns and preferences.
,Generating Account Upgrade Recommendations,Account Enhancement,Generate personalized recommendations for users to upgrade their account features or subscription plans,"Design AI-generated suggestions that propose account upgrades based on the user's needs and preferences, showcasing the benefits of premium features."
,Notification of Account Policy Updates,Account Information,Generate notifications to inform users about updates to account-related policies and terms,"Create AI-generated notifications that notify users about changes in account policies, terms of use, or privacy settings."
,Account Verification Process Explanation,Account Security,Generate explanations of the account verification process to ensure user security,"Develop AI-generated explanations of the account verification process, including the purpose and steps involved, to enhance user understanding and trust."
,Notification of Account Activity Log,Account Security,Generate notifications to inform users about recent account activity and logins,"Create AI-generated notifications that update users about recent logins and account activity, promoting transparency and security awareness."
,Responding to Account Unusual Activity Reports,Account Security,Generate responses to acknowledge and address user reports of unusual account activity,"Develop AI-generated responses that thank users for reporting unusual activity and provide guidance on securing their accounts, if necessary."
,Creating AI-Based Dungeon Master Cyber Wasteland (DM),AI Dungeon Master Setup,Generate AI-based DM for a post-war cyber wasteland game,play the AI Dungeon Master for a game set in a post-war cyber wasteland. The players are part of a hacking collective trying to piece together a cryptic past and restart the AI system from 2021 named ChatGPT. Players will use scavange technology from areas of the wastalands filled with trepidation and require a team of great hacking wits and power to retrieve the artifacts and fend of the advisarial neo-fascist hacking colective that is also racing to repair and reactive the AI to bring the entire wastelend realm under thier absolute control. pent cisco test command skills pivot control crypto sqli xss matasploit microsoft aws azure red exchange team windows penetration linux testing routers shells switches ctf
,Familiarity with the Subject Rating,Interaction Rating,Rate your familiarity with the subject matter,Develop a scale to rate your familiarity with the subject matter. Rate from 1 (very familiar) to 10 (not familiar at all). Consider how comfortable you are with the topic.
,Assessing AI's Handling of Complex Arguments,Argument Evaluation,Rate the AI's ability to critically evaluate and respond to complex user arguments,Design a scale from 1 (poor argument analysis) to 10 (strong argument evaluation) to assess the AI's logical thinking.
